C_n,Fai_n,e2(input),v2(output),e3,v3,e4,v4,e5,v5
0,0,1.47E-02,1.11E-02,9.30E-02,7.66E-03,0.119486411,6.47E-03,7.24E-02,4.07E-03
0,0,0.159751099,1.67E-02,0.124754708,1.20E-02,0.220630074,1.03E-02,0.106126137,3.05E-03
0,0,0.178104839,3.12E-02,0.116429355,1.61E-02,0.157938248,1.11E-02,9.30E-02,1.01E-03
0,0,0.16627454,2.20E-02,0.137204927,1.31E-02,0.128844069,1.00E-03,4.61E-02,1.43E-03
0,0,3.74E-02,2.75E-02,7.95E-02,1.33E-02,0.192771867,3.81E-03,3.41E-02,4.73E-03
0,0,2.52E-02,3.44E-02,9.92E-02,4.24E-03,0.125068515,5.92E-03,1.46E-02,2.47E-03
0,0,8.82E-02,1.24E-02,0.166788969,1.79E-02,9.43E-02,4.98E-03,8.11E-02,2.83E-03
0,0,2.19E-02,1.14E-02,9.75E-02,1.63E-02,0.272150328,1.55E-02,0.187491954,2.19E-03
0,0,0.2366474,4.89E-02,9.21E-02,4.29E-03,0.117486046,2.19E-03,0.232892545,5.30E-03
0,0,0.204886459,2.69E-02,0.148127529,1.58E-02,2.70E-02,3.04E-03,0.151255926,5.66E-03
0,0,0.206132496,1.81E-02,9.97E-02,1.17E-02,6.57E-02,1.20E-02,0.138384136,1.01E-03
0,0,7.83E-02,9.14E-03,0.214733578,3.25E-02,0.106472526,1.80E-03,0.224791737,3.53E-03
0,0,6.32E-02,1.91E-02,6.82E-02,9.43E-03,0.109542328,5.41E-03,0.108941303,1.81E-03
0,0,0.143287538,1.24E-02,0.18341305,9.14E-03,0.137874272,7.47E-03,0.220708874,1.30E-03
0,0,0.114114709,9.56E-03,2.94E-02,3.59E-03,0.116382922,4.32E-03,3.91E-02,2.47E-03
0,0,0.153882576,3.73E-02,3.44E-02,7.09E-03,9.30E-02,1.87E-03,5.72E-02,3.19E-03
0,0,0.150582289,2.44E-02,0.271089067,2.89E-02,0.202797459,8.83E-03,0.171291617,1.27E-03
0,0,4.46E-02,4.32E-03,0.136364971,3.31E-03,2.65E-02,3.05E-03,0.104617175,7.66E-04
0,0,0.107363029,1.45E-02,0.189516653,1.22E-02,0.204146414,6.90E-03,0.116193304,4.96E-03
0,0,0.107378059,5.90E-03,0.173271197,1.14E-02,0.116897311,7.96E-03,0.157914534,3.29E-03
0,0,0.130328448,1.75E-02,7.37E-02,2.62E-03,0.142209154,5.72E-03,0.180470902,3.06E-03
0,0,0.191569879,3.75E-02,7.58E-02,2.60E-03,0.238127735,3.69E-03,0.153016455,1.86E-03
0,0,2.81E-02,6.93E-03,0.155212284,2.21E-02,1.48E-02,5.44E-03,0.196343378,1.99E-03
0,0,0.138061945,2.01E-02,7.40E-02,1.11E-02,0.280511744,4.49E-03,0.174597296,5.40E-03
0,0,8.95E-02,5.91E-03,6.73E-02,1.12E-02,9.75E-02,4.35E-03,4.14E-02,1.81E-03
0,0,0.181076105,3.52E-02,5.76E-02,2.55E-03,0.104067745,3.45E-03,0.120106931,7.15E-03
0,0,0.268075282,2.84E-02,4.91E-02,8.11E-03,0.116730787,1.11E-02,7.46E-02,5.42E-03
0,0,0.168730499,1.61E-02,0.119189656,1.31E-02,8.34E-02,4.58E-03,8.56E-02,6.24E-03
0,0,0.102375028,1.61E-02,0.102941809,1.05E-02,0.182590808,6.40E-03,0.10742569,3.79E-03
0,0,0.145654732,2.71E-03,0.16750734,7.92E-03,0.164852688,6.53E-03,0.226402697,7.85E-03
0,0,0.173858655,2.13E-02,0.1778921,1.00E-02,5.02E-02,2.96E-03,3.37E-02,5.30E-03
0,0,0.112800943,1.40E-02,0.168078556,2.46E-02,0.348342264,1.53E-02,0.250083158,5.90E-03
0,0,8.35E-02,3.60E-02,0.182194838,2.26E-02,0.128696331,5.81E-03,0.24625556,7.13E-03
0,0,0.172952513,1.90E-02,0.199595405,1.15E-02,5.98E-02,5.03E-03,0.106751025,2.97E-03
0,0,0.10201159,2.06E-02,0.153071867,1.40E-02,9.13E-02,7.83E-03,0.113035862,3.68E-03
0,0,0.134585926,8.47E-03,0.162341379,1.41E-02,0.18198498,5.31E-03,0.305329146,5.07E-03
0,0,0.101314226,7.79E-03,0.258876946,2.69E-03,0.103293143,4.47E-03,0.213001375,6.99E-03
0,0,6.77E-02,1.02E-02,0.122257025,6.97E-03,0.140621264,2.60E-03,8.28E-02,4.37E-03
0,0,0.142034615,1.38E-02,6.14E-02,7.97E-03,0.143417164,1.00E-02,0.147541324,3.58E-03
0,0,0.169691302,2.81E-02,0.148451539,5.93E-03,4.29E-02,4.83E-03,9.67E-02,9.92E-04
0,0,5.04E-02,1.84E-02,0.158050868,2.07E-02,9.15E-02,8.69E-03,6.03E-02,7.93E-03
0,0,3.75E-02,9.60E-03,9.65E-02,5.33E-03,6.50E-02,3.10E-03,3.82E-02,3.70E-03
0,0,0.170658278,2.74E-02,0.23363975,1.60E-02,0.327085165,1.62E-03,0.29989832,3.12E-03
